Restaurant ID;Restaurant Name;Cuisines;Average Cost for two;Price range;Aggregate rating;Rating color;Rating text;Votes
16615894;The Giggling Goat;Coffee and Tea, Tea, Modern Australian;7;1;36;Yellow;Good;29
16604896;La Trattoria of Lavandula;Italian, Fusion, Cafe;7;1;38;Yellow;Good;93
16606299;Beach Box Cafe;Burger, Coffee and Tea, Modern Australian;7;1;37;Yellow;Good;100
16605794;Funkey Monkey;Breakfast, Coffee and Tea;7;1;38;Yellow;Good;97
17284203;BJ's Country Buffet;American, BBQ;10;1;33;Orange;Average;25
17284397;Elements Coffee Co - Northwest;Coffee and Tea, Sandwich;10;1;34;Orange;Average;26
17284094;Chick-fil-A;Fast Food;10;1;35;Yellow;Good;67
17284409;Guang Zhou Chinese Restaurant;Asian, Chinese, Vegetarian;10;1;39;Yellow;Good;141
17284150;House of China Restaurant II;Chinese;10;1;38;Yellow;Good;153
17284158;Jimmie's Hot Dogs;;10;1;39;Yellow;Good;160
17284279;Villa Gargano;Italian, Pizza;10;1;37;Yellow;Good;117
17284364;3 Squares Diner;American, Breakfast, Diner;10;1;34;Orange;Average;20
17293301;Mama's Boy Restaurant;Southern;10;1;45;Dark Green;Excellent;849
17293409;Sr. Sol 1;Mexican;10;1;46;Dark Green;Excellent;917
17293163;Choo Choo Eastside;Japanese, Korean;10;1;39;Yellow;Good;439
17293228;The Grill;Breakfast, Burger, Sandwich;10;1;37;Yellow;Good;289
17293880;Big City Bread Cafe;Breakfast, Sandwich;10;1;43;Green;Very Good;558
17293169;Clocked;American, Burger, Sandwich;10;1;42;Green;Very Good;613
17293229;Grit;International, Southern, Vegetarian;10;1;42;Green;Very Good;800
17293897;Ike & Jane;Sandwich;10;1;41;Green;Very Good;350
17293877;Taqueria Del Sol;Mexican, Spanish;10;1;41;Green;Very Good;543
17293915;The Royal Peasant;Bar Food;10;1;44;Green;Very Good;546
17293422;Transmetropolitan;Italian, Pizza, Sandwich;10;1;44;Green;Very Good;1098
17294014;Viva! Argentine Cuisine;Desserts, Latin American, Argentine;10;1;41;Green;Very Good;374
17294300;Boll Weevil Cafe;Desserts, Sandwich, Southern;10;1;39;Yellow;Good;372
17294565;Nacho Mamas Burritos;Mexican;10;1;4;Green;Very Good;380
17295115;Pho Bac;Vietnamese;10;1;41;Green;Very Good;270
17294883;El Kiosco Mexican Restaurant;Mexican;10;1;42;Green;Very Good;300
17303655;Bar Gernika Basque Pub & Eatery;European, Spanish;10;1;43;Green;Very Good;303
17303478;Big Jud's;American, Burger, Sandwich;10;1;42;Green;Very Good;334
17304733;Boise Fry Company;American, Burger;10;1;44;Green;Very Good;823
17303684;Guido's Original New York Style Pizza;Pizza;10;1;43;Green;Very Good;410
17303772;Los Beto's;Mexican;10;1;44;Green;Very Good;660
17304741;The Egg Factory;Breakfast;10;1;43;Green;Very Good;422
17315995;El Super Burrito;Mexican;10;1;41;Green;Very Good;190
17316201;Thai Moon Restaurant;Chinese, Sushi, Thai;10;1;42;Green;Very Good;220
17316208;Ting's Red Lantern;Chinese;10;1;42;Green;Very Good;347
17316744;Shorts Burger and Shine;Burger;10;1;49;Dark Green;Excellent;820
17316751;The Hamburg Inn No. 2 Inc.;American, Breakfast, Burger;10;1;45;Dark Green;Excellent;488
17558684;Berry Patch Restaurant;American, Breakfast, Desserts;10;1;43;Green;Very Good;96
17330755;Uptown Vietnam cuisine;Asian, Vietnamese;10;1;33;Orange;Average;33
17330397;Ruth Ann's Family Restaurant;Breakfast, Diner, Southern;10;1;37;Yellow;Good;123
17330615;Mongo The Mongolian Fire Pit;Asian, Chinese;10;1;42;Green;Very Good;355
17334348;Christian and Jake's Bistro;Desserts, Sandwich;10;1;44;Green;Very Good;122
17334355;Sierra's Mexican Restaurant;Mexican, Tex-Mex;10;1;39;Yellow;Good;66
