pclass;sex;age;sibsp;parch;fare;embarked;live
3;male;18;1;1;7.8542;S;0
3;male;40;0;0;7.225;C;0
3;male;;1;0;7.75;Q;0
1;female;17;1;0;57;S;1
1;female;45;1;1;164.8667;S;1
3;male;39;0;0;7.925;S;1
3;male;;0;0;7.25;S;0
3;male;;0;0;7.8792;S;0
3;male;24;0;0;8.05;S;0
3;female;18;0;1;14.4542;C;0
3;female;29;0;0;7.925;S;0
3;female;21;2;2;34.375;S;0
1;male;42;1;0;52;S;0
1;male;24;1;0;60;S;0
1;female;30;0;0;86.5;S;1
3;male;;0;0;7.75;Q;0
1;male;30;0;0;45.5;S;0
3;male;1;1;2;20.575;S;1
3;male;17;0;0;8.6625;S;0
3;female;37;0;0;7.75;Q;0
3;female;;0;0;7.75;Q;0
3;male;37;2;0;7.925;S;0
3;male;26;1;0;7.8542;S;0
1;female;18;1;0;53.1;S;1
1;female;18;1;0;227.525;C;1
1;male;17;0;2;110.8833;C;1
2;male;2;1;1;26;S;1
3;male;32;0;0;7.8958;S;0
1;female;64;1;1;26.55;S;1
1;female;48;1;1;79.2;C;1
1;female;40;1;1;134.5;C;1
3;male;;1;1;15.2458;C;1
3;male;41;2;0;14.1083;S;0
2;male;30;0;0;12.7375;C;1
3;male;4;4;2;31.275;S;0
3;female;18.5;0;0;7.2833;Q;0
2;male;24;0;0;13;S;0
2;female;15;0;2;39;S;1
2;female;30;1;0;13.8583;C;1
3;female;20;0;0;8.6625;S;0
3;male;;0;0;7.7292;Q;0
1;male;45.5;0;0;28.5;S;0
3;male;34.5;0;0;7.8292;Q;0
3;male;;1;0;14.4583;C;0
2;female;19;0;0;26;S;1
3;male;8;4;1;29.125;Q;0
3;female;6;4;2;31.275;S;0
1;female;64;0;2;83.1583;C;1
3;male;28;0;0;22.525;S;0
1;male;39;0;0;0;S;0
1;male;45;0;0;26.55;S;1
1;female;43;0;1;211.3375;S;1
2;female;34;0;1;23;S;1
1;female;60;0;0;76.2917;C;1
2;male;3;1;1;18.75;S;1
1;male;28;1;0;82.1708;C;0
